Model,Category,Part Number
Thick Film,Fixed Resistors - Chip Arrays,CAT10-000J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-100J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-101J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-102J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-103J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-104J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-105J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-110J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-111J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-112J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-113J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-114J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-120J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-121J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-122J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-123J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-124J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-130J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-131J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-132J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-133J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-134J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-150J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-151J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-152J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-153J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-154J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-160J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-161J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-162J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-163J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-164J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-180J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-181J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-182J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-183J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-184J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-200J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-201J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-202J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-203J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-204J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-220J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-221J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-222J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-223J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-224J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-240J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-241J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-242J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-243J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-244J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-270J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-271J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-272J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-273J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-274J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-300J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-301J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-302J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-303J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-304J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-330J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-331J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-332J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-333J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-334J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-360J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-361J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-362J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-363J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-364J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-390J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-391J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-392J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-393J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-394J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-430J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-431J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-432J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-433J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-434J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-470J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-471J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-472J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-473J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-474J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-510J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-511J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-512J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-513J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-514J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-560J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-561J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-562J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-563J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-564J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-620J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-621J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-622J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-623J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-624J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-680J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-681J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-682J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-683J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-684J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-750J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-751J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-752J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-753J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-754J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-820J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-821J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-822J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-823J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-824J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-910J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-911J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-912J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-913J4LF
Thick Film,Fixed Resistors - Chip Arrays,CAT10-914J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-000J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-000J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-100J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-100J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-101J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-101J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-102J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-102J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-103J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-103J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-104J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-104J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-105J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-105J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-110J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-110J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-111J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-111J4LF
