Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CFN0402-FX-R010ELF;CFN0402;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0;0.01 Ohms;±1 %;±100 PPM/°C;0.2 W;"10000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0402;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402
CFN0402-FX-R020ELF;CFN0402;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0;0.02 Ohms;±1 %;±100 PPM/°C;0.2 W;"10000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0402;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402
CFN0402-JX-R010ELF;CFN0402;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0;0.01 Ohms;±5 %;±100 PPM/°C;0.2 W;"10000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0402;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402
CFN0402-JX-R020ELF;CFN0402;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0;0.02 Ohms;±5 %;±100 PPM/°C;0.2 W;"10000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0402;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402
CFN0402AFX-R010ELF;CFN0402A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0;0.01 Ohms;±1 %;±100 PPM/°C;0.2 W;"10000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0402A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402A
CFN0402AFX-R020ELF;CFN0402A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0;0.02 Ohms;±1 %;±100 PPM/°C;0.2 W;"10000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0402A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402A
CFN0402AJX-R010ELF;CFN0402A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0;0.01 Ohms;±5 %;±100 PPM/°C;0.2 W;"10000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0402A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402A
CFN0402AJX-R020ELF;CFN0402A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0;0.02 Ohms;±5 %;±100 PPM/°C;0.2 W;"10000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0402A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402A
CFN0603-FX-R005ELF;CFN0603;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0603_part.jpg?sfvrsn=65a48f6_0;0.005 Ohms;±1 %;±100 PPM/°C;0.5 W;"5000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0603_mds.pdf?sfvrsn=795a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0603;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0603
CFN0603-FX-R010ELF;CFN0603;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn_0603_part.jpg?sfvrsn=65a48f6_0;0.01 Ohms;±1 %;±100 PPM/°C;0.5 W;"5000 pieces on 180 mm (7 inch) reel";https://www.bourns.com/docs/product-mds/cfn0603_mds.pdf?sfvrsn=795a48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0603;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0603
