Series,Name,Photo,Resistance Range,Tolerances,Temperature Coefficient,Power per Resistor,MDS,Design Files,Engineering,Buy Now,Datasheet Link,Product Link
CFG0612,,https://www.bourns.com/images/products/resistive-products/cfg_part.jpg?sfvrsn=5c6e7ef6_4,0.005; 0.01 Ω,1 %,±100 ppm,1 W,https://www.bourns.com/docs/product-mds/cfg0612_mds.pdf?sfvrsn=1f6f7ef6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFG,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFG0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CFG0612,https://www.bourns.com/docs/product-datasheets/cfg.pdf?sfvrsn=726f7ef6_12,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFG0612
CFN0402,,https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0,0.01; 0.02 Ω,1 % / 5 %,±100 ppm,0.25 W,https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CFN0402,https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402
CFN0402A,,https://www.bourns.com/images/products/resistive-products/cfn_0402_part.jpg?sfvrsn=625d48f6_0,0.01; 0.02 Ω,1 % / 5 %,±100 ppm,0.2 W,https://www.bourns.com/docs/product-mds/cfn0402_mds.pdf?sfvrsn=745a48f6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0402A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CFN0402A,https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0402A
CFN0603,,https://www.bourns.com/images/products/resistive-products/cfn_0603_part.jpg?sfvrsn=65a48f6_0,0.005; 0.01; 0.02 Ω,1 % / 5 %,±50 ppm / ±100 ppm,0.5 W,https://www.bourns.com/docs/product-mds/cfn0603_mds.pdf?sfvrsn=795a48f6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CFN0603,https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0603
CFN0603A,,https://www.bourns.com/images/products/resistive-products/cfn0603a_part.jpg?sfvrsn=11774bf6_2,0.005 to 0.02 Ω,1 % / 5 %,±50 ppm / ±100 ppm,0.5 W,https://www.bourns.com/docs/product-mds/cfn0603_mds.pdf?sfvrsn=795a48f6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CFN0603A,https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0603A
CFN0805,,https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4,0.005; 0.01; 0.02 Ω,1 % / 5 %,±100 ppm,0.5 W,https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CFN0805,https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805A,,https://www.bourns.com/images/products/resistive-products/cfn0805a_part.jpg?sfvrsn=ec774bf6_2,0.005 to 0.03 Ω,1 % / 5 %,±50 ppm / ±100 ppm,0.75 W,https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CFN0805A,https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805A
CFN1206,,https://www.bourns.com/images/products/resistive-products/cfn1206_part.jpg?sfvrsn=d16e7ef6_4,0.005; 0.01; 0.02 Ω,1 % / 5 %,±100 ppm,1 W,https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CFN1206,https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206
CFN1206A,,https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2,0.005 to 0.04 Ω,1 % / 5 %,±50 ppm / ±100 ppm,1 W,https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CFN1206A,https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CRK0612,,https://www.bourns.com/images/products/resistive-products/crk0612_part.jpg?sfvrsn=a76e7ef6_4,0.001; 0.005; 0.01 Ω,1 % / 5 %,±50 ppm,1 W,https://www.bourns.com/docs/product-mds/crk0612_mds.pdf?sfvrsn=46f7ef6_4 ,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRK,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRK0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CRK0612,https://www.bourns.com/docs/product-datasheets/crk.pdf?sfvrsn=4d6f7ef6_11,https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRK0612
