Model,Category,Part Number
Metal Foil,Fixed Resistors - Chip,CFN0402-FX-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0402-FX-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0402-JX-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0402-JX-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0402AFX-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0402AFX-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0402AJX-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0402AJX-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-FX-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-FX-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-FX-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-FZ-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-FZ-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-FZ-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-JX-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-JX-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-JX-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-JZ-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-JZ-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0603-JZ-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AFX-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AFX-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AFX-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AFZ-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AFZ-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AFZ-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AJX-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AJX-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AJX-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AJZ-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AJZ-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0603AJZ-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-FX-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-FX-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-FX-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-FX-R030ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-FZ-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-FZ-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-FZ-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-FZ-R030ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-JX-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-JX-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-JX-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-JX-R030ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-JZ-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-JZ-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-JZ-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN0805-JZ-R030ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AFX-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AFX-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AFX-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AFX-R030ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AFZ-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AFZ-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AFZ-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AFZ-R030ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AJX-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AJX-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AJX-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AJX-R030ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AJZ-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AJZ-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AJZ-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN0805AJZ-R030ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-FX-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-FX-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-FX-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-FX-R040ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-FZ-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-FZ-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-FZ-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-FZ-R040ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-JX-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-JX-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-JX-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-JX-R040ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-JZ-R005ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-JZ-R010ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-JZ-R020ELF
Metal Foil,Fixed Resistors - Chip,CFN1206-JZ-R040ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AFX-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AFX-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AFX-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AFX-R040ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AFZ-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AFZ-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AFZ-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AFZ-R040ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AJX-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AJX-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AJX-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AJX-R040ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AJZ-R005ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AJZ-R010ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AJZ-R020ELF
Metal Foil - AEC-Q200,Fixed Resistors - Chip,CFN1206AJZ-R040ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R010ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R011ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R012ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R013ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R015ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R018ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R020ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R022ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R025ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R030ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R033ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R034ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R035ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R039ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R040ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R042ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R045ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R047ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R048ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R050ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R055ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R057ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R060ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R064ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R065ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R068ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R070ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R075ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R080ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R085ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R090ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R095ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-FZ-R100ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-JZ-R010ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-JZ-R011ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-JZ-R012ELF
Metal Strip - AEC-Q200,Fixed Resistors - Chip Resistors,CRA2512-JZ-R013ELF
