Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CFN0805-FX-R005ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.005 Ohms;±1 %;±100 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805-FX-R010ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.01 Ohms;±1 %;±100 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805-FX-R020ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.02 Ohms;±1 %;±100 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805-FX-R030ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.03 Ohms;±1 %;±100 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805-FZ-R005ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.005 Ohms;±1 %;±50 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805-FZ-R010ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.01 Ohms;±1 %;±50 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805-FZ-R020ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.02 Ohms;±1 %;±50 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805-FZ-R030ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.03 Ohms;±1 %;±50 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805-JX-R005ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.005 Ohms;±5 %;±100 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
CFN0805-JX-R010ELF;CFN0805;Metal Foil;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn0805_part.jpg?sfvrsn=ac6e7ef6_4;0.01 Ohms;±5 %;±100 PPM/°C;0.75 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn0805_mds.pdf?sfvrsn=156f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN0805;https://www.bourns.com/docs/product-datasheets/cfn.pdf?sfvrsn=486f7ef6_12;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN0805
