Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CFN1206AFX-R005ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.005 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CFN1206AFX-R010ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.01 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CFN1206AFX-R020ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.02 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CFN1206AFX-R040ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.04 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CFN1206AFZ-R005ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.005 Ohms;±1 %;±50 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CFN1206AFZ-R010ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.01 Ohms;±1 %;±50 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CFN1206AFZ-R020ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.02 Ohms;±1 %;±50 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CFN1206AFZ-R040ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.04 Ohms;±1 %;±50 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CFN1206AJX-R005ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.005 Ohms;±5 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
CFN1206AJX-R010ELF;CFN1206A;Metal Foil - AEC-Q200;Fixed Resistors - Chip;https://www.bourns.com/images/products/resistive-products/cfn1206a_part.jpg?sfvrsn=16774bf6_2;0.01 Ohms;±5 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cfn1206_mds.pdf?sfvrsn=106f7ef6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CFN-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CFN1206A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CFN1206A;https://www.bourns.com/docs/product-datasheets/cfn-a.pdf?sfvrsn=28774bf6_5;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CFN1206A
