Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CRA2512-FZ-R010ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.01 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
CRA2512-FZ-R011ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.011 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
CRA2512-FZ-R012ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.012 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
CRA2512-FZ-R013ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.013 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
CRA2512-FZ-R015ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.015 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
CRA2512-FZ-R018ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.018 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
CRA2512-FZ-R020ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.02 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
CRA2512-FZ-R022ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.022 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
CRA2512-FZ-R025ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.025 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
CRA2512-FZ-R030ELF;CRA2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cra2512_part.jpg?sfvrsn=40866f6_4;0.03 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cra2512_mds.pdf?sfvrsn=108197f1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRA;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRA2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRA2512;https://www.bourns.com/docs/product-datasheets/cra.pdf?sfvrsn=3b6d91f1_19;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRA2512
