Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CRE2512-FZ-R001E-2;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.001 Ohms;±1 %;±50 PPM/°C;2.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R001E-3;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.001 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R002E-2;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.002 Ohms;±1 %;±50 PPM/°C;2.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R002E-3;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.002 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R003E-2;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.003 Ohms;±1 %;±50 PPM/°C;2.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R003E-3;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.003 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R004E-2;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.004 Ohms;±1 %;±50 PPM/°C;2.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R004E-3;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.004 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R005E-2;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.005 Ohms;±1 %;±50 PPM/°C;2.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R005E-3;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.005 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R006E-2;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.006 Ohms;±1 %;±50 PPM/°C;2.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R006E-3;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.006 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R007E-2;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.007 Ohms;±1 %;±50 PPM/°C;2.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R007E-3;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.007 Ohms;±1 %;±50 PPM/°C;3.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
CRE2512-FZ-R008E-2;CRE2512;Metal Strip - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cre2512_part.jpg?sfvrsn=10866f6_4;0.008 Ohms;±1 %;±50 PPM/°C;2.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cre2512_mds.pdf?sfvrsn=e18197f1_7 ; ;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRE2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRE2512;https://www.bourns.com/docs/product-datasheets/cre.pdf?sfvrsn=9e6d91f1_21;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CRE2512
