Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CSS2H-5930C-000;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;< 0.2 mOhm;0;Unknown;160 A;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
CSS2H-5930K-1L00F;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;1.0 mOhm;±1 %;±75 PPM/°C;9 W;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
CSS2H-5930K-1L00J;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;1.0 mOhm;±5 %;±75 PPM/°C;9 W;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
CSS2H-5930K-2L00F;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;2.0 mOhm;±1 %;±75 PPM/°C;7 W;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
CSS2H-5930K-2L00J;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;2.0 mOhm;±5 %;±75 PPM/°C;7 W;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
CSS2H-5930R-L200F;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;0.2 mOhm;±1 %;±150 PPM/°C;15 W;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
CSS2H-5930R-L200J;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;0.2 mOhm;±5 %;±150 PPM/°C;15 W;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
CSS2H-5930R-L300F;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;0.3 mOhm;±1 %;±150 PPM/°C;15 W;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
CSS2H-5930R-L300J;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;0.3 mOhm;±5 %;±150 PPM/°C;15 W;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
CSS2H-5930R-L500F;CSS2H-5930;EBW Metal Strip - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/Products/resistive-products/css2h-5026_part.gif?sfvrsn=e35c9af1_2;0.5 mOhm;±1 %;±100 PPM/°C;8 W;"1;500 per reel and 500 per mini reel";https://www.bourns.com/docs/Product-MDS/css2h-5930k_mds.pdf?sfvrsn=36209af1_6 https://www.bourns.com/docs/Product-MDS/css2h-5930r_mds.pdf?sfvrsn=31209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS2H-5930;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS2H-5930&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS2H-5930;https://www.bourns.com/docs/product-datasheets/css2h-5930.pdf?sfvrsn=6a5f9af1_25;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS2H-5930
