Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CSS4J-4026K-2L00F;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;2.0 mOhm;±1 %;±75 PPM/°C;6 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
CSS4J-4026K-2L00J;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;2.0 mOhm;±5 %;±75 PPM/°C;6 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
CSS4J-4026R-1L00F;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;1.0 mOhm;±1 %;±75 PPM/°C;8 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
CSS4J-4026R-1L00J;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;1.0 mOhm;±5 %;±75 PPM/°C;8 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
CSS4J-4026R-L200F;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;0.2 mOhm;±1 %;±150 PPM/°C;11 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
CSS4J-4026R-L200J;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;0.2 mOhm;±5 %;±150 PPM/°C;11 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
CSS4J-4026R-L300F;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;0.3 mOhm;±1 %;±100 PPM/°C;10 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
CSS4J-4026R-L300J;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;0.3 mOhm;±5 %;±100 PPM/°C;10 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
CSS4J-4026R-L500F;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;0.5 mOhm;±1 %;±100 PPM/°C;10 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
CSS4J-4026R-L500J;CSS4J-4026;EBW Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Shunt;https://www.bourns.com/images/products/resistive-products/css4j-4026_part.jpg?sfvrsn=e25c9af1_4;0.5 mOhm;±5 %;±100 PPM/°C;10 W;"1;500 per reel and 400 per mini reel";https://www.bourns.com/docs/Product-MDS/css4j-4026k_mds.pdf?sfvrsn=a209af1_6 https://www.bourns.com/docs/Product-MDS/css4j-4026r_mds.pdf?sfvrsn=5209af1_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CSS4J-4026;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CSS4J-4026&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CSS4J-4026;https://www.bourns.com/docs/product-datasheets/css4j-4026.pdf?sfvrsn=675f9af1_37;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CSS4J-4026
