Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CST0612-FC-R0005-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.0005 Ohms;±1 %;±200 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FC-R00075E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.00075 Ohms;±1 %;±200 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FC-R001-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.001 Ohms;±1 %;±200 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FC-R0015-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.0015 Ohms;±1 %;±200 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FC-R002-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.002 Ohms;±1 %;±200 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FC-R003-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.003 Ohms;±1 %;±200 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FC-R005-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.005 Ohms;±1 %;±200 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FX-R0005-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.0005 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FX-R00075E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.00075 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FX-R001-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.001 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FX-R0015-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.0015 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FX-R002-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.002 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FX-R003-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.003 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
CST0612-FX-R005-E;CST0612;Metal Strip - 4 Terminals - AEC-Q200;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cst0612_part.jpg?sfvrsn=ca36a79a_2;0.005 Ohms;±1 %;±100 PPM/°C;1.0 W;4000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/cst0612_mds.pdf?sfvrsn=e68197f1_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CST0612;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CST0612&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CST0612;https://www.bourns.com/docs/product-datasheets/cst0612.pdf?sfvrsn=1c6d91f1_10;https://www.bourns.com/products/resistors/metal-strip-chip-resistors/product/CST0612
