Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CHP0603AFX-1000ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;100.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
CHP0603AFX-1001ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;1000.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
CHP0603AFX-1002ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;10000.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
CHP0603AFX-1003ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;100000.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
CHP0603AFX-1004ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;1000000.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
CHP0603AFX-1020ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;102.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
CHP0603AFX-1021ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;1020.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
CHP0603AFX-1022ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;10200.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
CHP0603AFX-1023ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;102000.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
CHP0603AFX-1050ELF;CHP-A;Thick Film - Ultra High Power - AEC-Q200 - Ant Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_a_part.jpg?sfvrsn=836d41f6_2;105.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603-a_mds.pdf?sfvrsn=4d6c41f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603A;https://www.bourns.com/docs/product-datasheets/chp-a.pdf?sfvrsn=bd6d41f6_8;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603A
