Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CHP0603-FW-1R00ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.0 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
CHP0603-FW-1R02ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.02 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
CHP0603-FW-1R05ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.05 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
CHP0603-FW-1R07ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.07 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
CHP0603-FW-1R10ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.1 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
CHP0603-FW-1R13ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.13 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
CHP0603-FW-1R15ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.15 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
CHP0603-FW-1R18ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.18 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
CHP0603-FW-1R20ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.2 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
CHP0603-FW-1R21ELF;CHP;Thick Film - Ultra High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chp_part.jpg?sfvrsn=72d47df6_8;1.21 Ohms;±1 %;±200 PPM/°C;0.33 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chp0603_mds.pdf?sfvrsn=1dd57df6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHP0603;https://www.bourns.com/docs/product-datasheets/chp.pdf?sfvrsn=21d57df6_10;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0603
