Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CHV0603-FX-1005EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;10000000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV0603-FX-1023EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;102000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV0603-FX-1024EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;1020000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV0603-FX-1103EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;110000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV0603-FX-1104EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;1100000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV0603-FX-1133EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;113000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV0603-FX-1134EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;1130000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV0603-FX-1153EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;115000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV0603-FX-1154EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;1150000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV0603-FX-1184EST;CHV-ST;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2;1180000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST;https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
