Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CHV0603-FX-1003ELF;CHV;Thick Film - High Voltage - UL;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;100000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV0603-FX-1003EST;CHV;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;100000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV0603-FX-1004ELF;CHV;Thick Film - High Voltage - UL;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;1000000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV0603-FX-1004EST;CHV;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;1000000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV0603-FX-1005ELF;CHV;Thick Film - High Voltage - UL;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;10000000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV0603-FX-1023ELF;CHV;Thick Film - High Voltage - UL;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;102000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV0603-FX-1024ELF;CHV;Thick Film - High Voltage - UL;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;1020000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV0603-FX-1053ELF;CHV;Thick Film - High Voltage - UL;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;105000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV0603-FX-1053EST;CHV;Thick Film - High Voltage;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;105000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV0603-FX-1054ELF;CHV;Thick Film - High Voltage - UL;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4;1050000.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CHV0603;https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
