Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CMP0603-FX-1000ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;100.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
CMP0603-FX-1001ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;1000.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
CMP0603-FX-1002ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;10000.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
CMP0603-FX-1003ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;100000.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
CMP0603-FX-1004ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;1000000.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
CMP0603-FX-1020ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;102.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
CMP0603-FX-1021ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;1020.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
CMP0603-FX-1022ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;10200.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
CMP0603-FX-1023ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;102000.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
CMP0603-FX-1050ELF;CMP;Thick Film - High Power - Surge;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/cmp_part.jpg?sfvrsn=83ce40f6_2;105.0 Ohms;±1 %;±200 PPM/°C;0.25 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cmp0603_mds.pdf?sfvrsn=3bd140f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CMP;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CMP0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CMP0603;https://www.bourns.com/docs/product-datasheets/cmp.pdf?sfvrsn=60d140f6_4;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CMP0603
