Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CR0201AF/-1R00GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.0 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
CR0201AF/-1R02GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.02 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
CR0201AF/-1R07GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.07 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
CR0201AF/-1R10GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.1 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
CR0201AF/-1R20GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.2 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
CR0201AF/-1R30GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.3 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
CR0201AF/-1R37GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.37 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
CR0201AF/-1R54GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.54 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
CR0201AF/-1R58GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.58 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
CR0201AF/-1R60GAS;CR-A-AS;Thick Film - General Purpose - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crxxxxa_as_part.jpg?sfvrsn=ad2741f6_0;1.6 Ohms;±1 %;0 PPM/°C;0.05 W;10000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/cr0201a-as_mds.pdf?sfvrsn=255578f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A-AS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A-AS&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CR0201A-AS;https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf?sfvrsn=5f5578f6_20;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A-AS
