Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CRM0805-FW-1R00ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.0 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
CRM0805-FW-1R02ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.02 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
CRM0805-FW-1R05ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.05 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
CRM0805-FW-1R07ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.07 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
CRM0805-FW-1R10ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.1 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
CRM0805-FW-1R13ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.13 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
CRM0805-FW-1R15ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.15 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
CRM0805-FW-1R18ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.18 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
CRM0805-FW-1R20ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.2 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
CRM0805-FW-1R21ELF;CRM;Thick Film - High Power;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crm0805_part.jpg?sfvrsn=ed0866f6_4;1.21 Ohms;±1 %;±200 PPM/°C;0.125 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crm0805_mds_under_1ohm.pdf?sfvrsn=d78197f1_16 https://www.bourns.com/docs/product-mds/crm0805_mds_over_1ohm.pdf?sfvrsn=b67f55f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRM0805_1206_2010;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRM0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRM0805;https://www.bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRM0805
