Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CRS0603AFW-1R00ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.0 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
CRS0603AFW-1R02ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.02 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
CRS0603AFW-1R05ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.05 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
CRS0603AFW-1R07ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.07 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
CRS0603AFW-1R10ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.1 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
CRS0603AFW-1R13ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.13 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
CRS0603AFW-1R15ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.15 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
CRS0603AFW-1R18ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.18 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
CRS0603AFW-1R20ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.2 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
CRS0603AFW-1R21ELF;CRS-A;Thick Film - High Power - Surge - AEC-Q200 - Anti Sulfur;Fixed Resistors - Chip Resistors;https://www.bourns.com/images/products/resistive-products/crs-a_part.jpg?sfvrsn=83c74f6_6;1.21 Ohms;±1 %;±200 PPM/°C;0.1 W;5000 pieces on 180 mm (7 inch) reel;https://www.bourns.com/docs/product-mds/crs0603-a_mds.pdf?sfvrsn=9c3a74f6_6 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CRS-A;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CRS0603A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CRS0603A;https://www.bourns.com/docs/product-datasheets/crs-a.pdf?sfvrsn=303a74f6_17;https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CRS0603A
