Series,Name,Size,Photo,Features,Tolerances,Temperature Coefficient,Power per Resistor,Resistance Range,MDS,Design Files,Engineering,Buy Now,Datasheet Link,Product Link
CR,CR01005,01005,https://www.bourns.com/images/products/resistive-products/crxxxxx_part.jpg?sfvrsn=bd4d41f6_2,General Purpose,1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,0.03 W,10 Ω to 1 MΩ,https://www.bourns.com/docs/product-mds/cr01005_mds.pdf?sfvrsn=614c41f6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR01005&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR01005,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_16,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR01005
CR,CR0201,0201,https://www.bourns.com/images/products/resistive-products/crxxxxx_part.jpg?sfvrsn=bd4d41f6_2,General Purpose,1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,0.05 W,1 Ω to 10 MΩ,https://www.bourns.com/docs/Product-MDS/cr0201_mds.pdf?sfvrsn=1a8197f1_6,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR0201,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_16,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201
CR,CR0402,0402,https://www.bourns.com/images/products/resistive-products/crxxxxx_part.jpg?sfvrsn=bd4d41f6_2,General Purpose,1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,0.063 W,1 Ω to 20 MΩ,https://www.bourns.com/docs/Product-MDS/cr0402_mds.pdf?sfvrsn=b48197f1_6,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0402&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR0402,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_16,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0402
CR,CR0603,0603,https://www.bourns.com/images/products/resistive-products/crxxxxx_part.jpg?sfvrsn=bd4d41f6_2,General Purpose,1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,0.100 W,1 Ω to 20 MΩ,https://www.bourns.com/docs/Product-MDS/cr0603_mds.pdf?sfvrsn=d79410bf_2,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR0603,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_16,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0603
CR,CR0805,0805,https://www.bourns.com/images/products/resistive-products/crxxxxx_part.jpg?sfvrsn=bd4d41f6_2,General Purpose,1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,0.125 W,1 Ω to 20 MΩ,https://www.bourns.com/docs/product-mds/cr0805_mds.pdf?sfvrsn=72590b36_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR0805,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_16,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0805
CR,CR1206,1206,https://www.bourns.com/images/products/resistive-products/crxxxxx_part.jpg?sfvrsn=bd4d41f6_2,General Purpose,1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,0.250 W,1 Ω to 20 MΩ,https://www.bourns.com/docs/product-mds/cr1206_mds.pdf?sfvrsn=32aaee02_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR1206&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR1206,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_16,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR1206
CR,CR2010,2010,https://www.bourns.com/images/products/resistive-products/crxxxxx_part.jpg?sfvrsn=bd4d41f6_2,General Purpose,1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,0.5 W,1 Ω to 20 MΩ,https://www.bourns.com/docs/Product-MDS/cr2010_mds.pdf?sfvrsn=f78197f1_6,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR2010&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR2010,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_16,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR2010
CR,CR2512,2512,https://www.bourns.com/images/products/resistive-products/crxxxxx_part.jpg?sfvrsn=bd4d41f6_2,General Purpose,1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,1 W,1 Ω to 20 MΩ,https://www.bourns.com/docs/Product-MDS/cr2512_mds.pdf?sfvrsn=ad06fc8b_2,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR2512,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_16,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR2512
CR-A,CR0201A,0201,https://www.bourns.com/images/products/resistive-products/crxxxxa_part.jpg?sfvrsn=369441f6_2,"General Purpose
AEC-Q200 Compliant",1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,0.05 W,1 Ω to 10 MΩ,https://www.bourns.com/docs/product-mds/cr0201a_mds.pdf?sfvrsn=e09541f6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0201A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR0201A,https://www.bourns.com/docs/product-datasheets/cr-a.pdf?sfvrsn=2c9541f6_10,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0201A
CR-A,CR0402A,0402,https://www.bourns.com/images/products/resistive-products/crxxxxa_part.jpg?sfvrsn=369441f6_2,"General Purpose
AEC-Q200 Compliant",1 %5 %,-200 to +600 ppm±100 ppm±200 ppm±400 ppm,0.063 W,1 Ω to 20 MΩ,https://www.bourns.com/docs/product-mds/cr0402a_mds.pdf?sfvrsn=f69541f6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CR-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CR0402A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CR0402A,https://www.bourns.com/docs/product-datasheets/cr-a.pdf?sfvrsn=2c9541f6_10,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CR0402A
