Model,Category,Part Number
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A1000JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A10R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A11R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A12R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A13R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A15R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A16R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A18R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A20R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A22R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A24R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A27R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A30R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A33R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A36R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A39R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A43R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A47R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A51R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A56R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A62R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A68R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A75R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A82R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW10A91R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A1000JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A10R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A11R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A12R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A13R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A15R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A16R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A18R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A20R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A22R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A24R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A27R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A30R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A33R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A36R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A39R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A43R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A47R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A51R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A56R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A62R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A68R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A75R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A82R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW20A91R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A1000JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A10R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A11R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A12R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A13R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A15R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A16R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A18R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A20R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A22R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A24R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A27R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A30R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A33R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A36R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A39R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A43R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A47R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A51R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A56R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A62R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A68R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A75R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A82R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW30A91R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A1000JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A10R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A11R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A12R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A13R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A15R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A16R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A18R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A20R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A22R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A24R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A27R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A30R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A33R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A36R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A39R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A43R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A47R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A51R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A56R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A62R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A68R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A75R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A82R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A91R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A1000JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A10R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A11R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A12R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A13R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A15R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A16R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A18R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A20R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A22R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A24R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A27R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A30R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A33R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A36R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A39R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A43R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A47R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A51R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A56R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A62R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A68R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A75R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A82R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A91R0JA
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1000F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1000FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1000J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1000JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N10R0F
