Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
W10M1000J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;100.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
W10M1200J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;120.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
W10M1500J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;150.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
W10M15R0J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;15.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
W10M22R0J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;22.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
W10M33R0J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;33.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
W10M39R0J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;39.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
W10M47R0J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;47.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
W10M56R0J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;56.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
W10M82R0J;W Series;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/w_photo_part.jpg?sfvrsn=fdbc15f5_2;82.0 Ohm;5%;±300 PPM/°C;10W;Through-hole Axial Wirewound;https://www.bourns.com/docs/Product-MDS/w_mds.pdf?sfvrsn=f0b3769_0 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=W;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=W1M&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=W1M;https://www.bourns.com/docs/product-datasheets/w.pdf?sfvrsn=aa7491f1_5;https://www.bourns.com/products/resistors/wirewound-resistors/product/W%20Series
