Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
WS1M1500J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;150.0 Ohm;5%;±300 PPM/°C;1W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
WS1M15R0J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;15.0 Ohm;5%;±300 PPM/°C;1W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
WS1M20R0J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;20.0 Ohm;5%;±300 PPM/°C;1W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
WS1M22R0J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;22.0 Ohm;5%;±300 PPM/°C;1W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
WS1M33R0J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;33.0 Ohm;5%;±300 PPM/°C;1W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
WS1M47R0J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;47.0 Ohm;5%;±300 PPM/°C;1W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
WS1M68R0J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;68.0 Ohm;5%;±300 PPM/°C;1W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
WS2M1001J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;1000.0 Ohm;5%;±300 PPM/°C;2W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
WS2M1500J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;150.0 Ohm;5%;±300 PPM/°C;2W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
WS2M15R0J;WS Series Surge Withstand;Axial - TH;Fixed Resistors - Wirewound;https://www.bourns.com/images/products/resistive-products/ws_part.jpg?sfvrsn=ea3aaed4_2;15.0 Ohm;5%;±300 PPM/°C;2W;Through-hole Axial Wirewound;;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=WS;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=WS1&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=WS1;https://www.bourns.com/docs/product-datasheets/ws.pdf?sfvrsn=a57491f1_3;https://www.bourns.com/products/resistors/wirewound-resistors/product/WS%20Series%20Surge%20Withstand
